# vbc [MW]	hbc [MW]	ne [1e19m-3]	Te [keV]	ECRH [MW]	main valve [mbar*L/s]	HeBeam gas [V]	Wdia [MJ]
0.575696	0.696743	2.2950	0.498098	2.465735	28.250893	-20.000000	0.319794
1.477680	1.885939	8.7680	0.183226	3.110062	98.044159	-20.000000	0.467434
0.937907	0.747231	4.0410	0.197020	1.453941	44.341507	-20.000000	0.252804
1.026836	0.855513	4.4920	0.286684	3.509948	68.178242	-20.000000	0.388271
1.982713	1.525550	5.6650	0.230007	3.843097	50.607780	-20.000000	0.429332
1.688065	1.708040	7.6540	0.188623	4.748900	69.900127	-20.000000	0.493292
0.609577	0.568045	3.2880	0.453716	4.762050	31.994940	-20.000000	0.436962
1.293476	0.999193	7.7800	0.182626	3.171741	70.615437	-20.000000	0.433293
1.204856	0.934923	6.7690	0.191022	2.694968	57.152150	-20.000000	0.380887
0.997836	0.779191	6.7100	0.204217	3.285836	60.206524	-20.000000	0.409861
0.481439	0.616628	2.2380	0.523887	3.242221	31.321963	-20.000000	0.290070
0.982588	1.258954	3.7720	0.496598	4.769501	22.857404	-20.000000	0.424554
0.978925	1.139060	3.7720	0.212314	4.803303	24.077332	-20.000000	0.426483
0.415134	0.357417	3.2640	0.369450	1.844653	40.586265	-20.000000	0.304738
