# vbc [MW]	hbc [MW]	ne [1e19m-3]	Te [keV]	ECRH [MW]	main valve [mbar*L/s]	HeBeam gas [V]	Wdia [MJ]
0.359745	0.424523	1.3800	0.716409	2.534011	9.3057690	-20.000000	0.212298
0.903030	1.336357	5.4500	0.277088	3.764970	31.737284	-20.000000	0.404146
0.787207	0.623079	2.5700	0.300478	1.435854	10.029554	-20.000000	0.216955
0.637756	0.539436	2.8740	0.416831	3.280033	15.745388	-20.000000	0.327901
0.959068	0.766107	4.1060	0.311873	4.023549	19.277880	-20.000000	0.418553
1.076154	0.863766	5.0610	0.304676	4.682885	16.825138	-20.000000	0.476526
0.522941	0.396564	2.6230	0.508294	4.648539	12.584251	-20.000000	0.383412
0.710521	0.581036	5.1150	0.250398	3.187997	20.354685	-20.000000	0.374372
0.422598	0.346521	5.0630	0.224009	2.731850	9.4780500	-20.000000	0.317452
0.470130	0.370148	5.1720	0.234205	3.064576	0.1699610	-20.000000	0.358618
0.401042	0.503901	1.6660	0.606354	3.394788	0.0774350	-20.000000	0.248631
0.851116	1.123225	3.2230	0.505595	4.808177	0.6798900	-20.000000	0.394604
0.819367	0.949843	3.2320	0.235105	4.808295	0.1622050	-20.000000	0.398507
0.270136	0.234833	1.6770	0.621048	1.879729	7.1867940	-20.000000	0.214944
