# vbc [MW]	hbc [MW]	ne [1e19m-3]	Te [keV]	ECRH [MW]	main valve [mbar*L/s]	HeBeam gas [V]	Wdia [MJ]
0.786448	0.989911	4.6130	0.275288	2.961729	40.369350	-20.000000	0.375235
0.776541	0.986938	4.9090	0.244701	3.026790	36.441311	-20.000000	0.377566
0.777064	1.019266	4.9890	0.233005	2.756457	54.453116	-20.000000	0.372471
1.830252	1.203330	5.0980	0.153538	2.287327	47.531824	-20.000000	0.283931
3.635412	2.896761	6.2100	0.156237	2.021314	25.787812	-20.000000	0.332174
1.902844	1.478952	4.0240	0.152038	1.596260	27.575645	-20.000000	0.196618
2.340783	1.967923	7.7660	0.133446	3.656238	72.699220	-20.000000	0.511214
1.196839	0.937351	8.2380	0.209915	5.238267	88.274320	-20.000000	0.544903
0.831558	0.635715	5.8780	0.205117	2.713068	57.152150	-20.000000	0.353758
0.810315	0.627747	5.8460	0.219511	3.214733	53.376319	-20.000000	0.382693
