# vbc [MW]	hbc [MW]	ne [1e19m-3]	Te [keV]	ECRH [MW]	main valve [mbar*L/s]	HeBeam gas [V]	Wdia [MJ]
0.676476	0.864255	3.0910	0.423728	3.092591	15.409881	-20.000000	0.373811
0.639830	0.832239	3.3910	0.375448	2.966006	21.230844	-20.000000	0.375401
0.631528	0.865012	3.3280	0.371249	2.729674	20.519566	-20.000000	0.379013
1.173263	0.981183	4.2320	0.194321	2.032913	15.238583	-20.000000	0.309507
2.723419	2.213573	4.6770	0.163434	2.311018	0.325316	-20.000000	0.279313
0.895203	0.696279	3.7610	0.200918	1.578872	9.4619460	-20.000000	0.249170
1.296201	1.100505	5.4120	0.217412	3.603004	3.7108410	-20.000000	0.539371
0.765724	0.660448	6.0810	0.257595	5.383046	17.003075	-20.000000	0.490155
0.422598	0.346521	5.0630	0.224009	2.731850	9.4780500	-20.000000	0.318912
0.470130	0.370148	5.1720	0.234205	3.064576	0.1699610	-20.000000	0.358618
