# channel number    reff(cm)    roh(reff/a)
1.0000000     0.6498361    1.0254819
2.0000000     0.6537531    1.0316633
3.0000000     0.6367052    1.0047606
4.0000000     0.6235800    0.9840483
5.0000000     0.6026959    0.9510918
6.0000000     0.5972289    0.9424646
7.0000000     0.5777282    0.9116913
8.0000000     0.5503392    0.8684696
9.0000000     0.5265543    0.8309355
10.0000000    0.5003212    0.7895381
11.0000000    0.4718419    0.7445960
12.0000000    0.4436695    0.7001382
13.0000000    0.4093136    0.6459225
14.0000000    0.3771480    0.5951631
15.0000000    0.3415834    0.5390399
