# kbolo m^3     volume m^3
1.000000e-11    1.000000e-11
0.0000983e-6    1.8160732e-6
0.0002986e-6    770.25441e-6
0.0005391e-6    1653.5432e-6
0.0007156e-6    2554.7619e-6
0.0008334e-6    3356.1809e-6
0.0009264e-6    4021.9678e-6
0.0009924e-6    4570.4466e-6
0.0010332e-6    4989.6792e-6
0.0010552e-6    5170.4882e-6
0.0010669e-6    5192.5645e-6
0.0010715e-6    5152.6222e-6
0.0010766e-6    5109.6704e-6
0.0010841e-6    5094.9972e-6
0.0010884e-6    5078.2370e-6
0.0010888e-6    5058.9416e-6
0.0010882e-6    5056.5810e-6
0.0010872e-6    5078.1684e-6
0.0010832e-6    5096.5196e-6
0.0010760e-6    5113.7904e-6
0.0010685e-6    5141.4566e-6
0.0010644e-6    5189.7831e-6
0.0010539e-6    5182.7365e-6
0.0010337e-6    5034.6928e-6
0.0009871e-6    4625.8518e-6
0.0009159e-6    4090.3707e-6
0.0008237e-6    3438.9665e-6
0.0007019e-6    2659.5109e-6
0.0005178e-6    1753.3355e-6
0.0003074e-6    937.82125e-6
0.0001408e-6    59.552050e-6
1.000000e-11    1.000000e-11
