#ch          reff(cm)      roh(reff/a) 
1.0000000    0.66194298    1.2749999
2.0000000    0.63598400    1.2249991
3.0000000    0.61002602    1.1750002
4.0000000    0.57108799    1.0999998
5.0000000    0.53215000    1.0249995
6.0000000    0.49321201    0.9499991
7.0000000    0.44129501    0.8499993 
8.0000000    0.38937801    0.7499995 
9.0000000    0.33746101    0.6499997 
10.000000    0.28554399    0.5499998 
11.000000    0.24660601    0.4749995 
12.000000    0.19468901    0.3749997 
13.000000    0.14277200    0.2749999 
14.000000    0.09085490    0.1749999 
15.000000    0.05191710    0.1000000 
16.000000    0.01297930    0.0250000
17.000000    -0.01297930   -0.0250000 
18.000000    -0.05191710   -0.1000000 
19.000000    -0.10383400   -0.1999996 
20.000000    -0.14277200   -0.2749999 
21.000000    -0.19468901   -0.3749997 
22.000000    -0.24660601   -0.4749995 
23.000000    -0.29852301   -0.5749993 
24.000000    -0.35043999   -0.6749991 
25.000000    -0.40235699   -0.7749989 
26.000000    -0.45427502   -0.8750007 
27.000000    -0.49321201   -0.9499991 
28.000000    -0.53215000   -1.0249995 
29.000000    -0.58406700   -1.1249993 
30.000000    -0.61002602   -1.1750002 
31.000000    -0.64896400   -1.2500005 
32.000000    -0.67492203   -1.2999995 
