# kbolo m^3     volume m^3
0.0019134e-6    3474.3085e-6 
0.0020594e-6    3690.1455e-6 
0.0021759e-6    3861.3028e-6 
0.0022530e-6    3956.5918e-6 
0.0023492e-6    4057.9903e-6 
0.0024581e-6    4205.0841e-6 
0.0025383e-6    4324.9746e-6 
0.0025876e-6    4417.9525e-6 
0.0026676e-6    4566.0612e-6 
0.0027635e-6    4770.6296e-6 
0.0028188e-6    4914.2950e-6 
0.0028263e-6    4970.0105e-6 
0.0028491e-6    5014.7926e-6 
0.0028762e-6    5060.2790e-6 
0.0028430e-6    4969.1072e-6 
0.0027058e-6    4592.2853e-6 
0.0024033e-6    3597.1969e-6 
0.0020666e-6    2566.1598e-6 
0.0017718e-6    1878.4004e-6 
0.0015136e-6    1414.3006e-6 
0.0013043e-6    1094.5581e-6 
0.0011378e-6    882.65731e-6 
0.0009732e-6    712.97006e-6 
0.0008073e-6    571.52867e-6 
