#ch          reff(cm)        roh(reff/a) 
1.0000000    0.11681300      0.22499909 
2.0000000    0.077875600     0.14999990 
3.0000000    0.038937800     0.074999952 
4.0000000    0.012979300     0.025000048 
5.0000000    -0.012979300    -0.025000048 
6.0000000    -0.038937800    -0.074999952 
7.0000000    -0.077875600    -0.14999990 
8.0000000    -0.11681300     -0.22499909 
9.0000000    -0.15575100     -0.29999942 
10.000000    -0.18171000     -0.35000028 
11.000000    -0.22064800     -0.42500063 
12.000000    -0.25958500     -0.49999904 
13.000000    -0.29852301     -0.57499939 
14.000000    -0.33746101     -0.64999974 
15.000000    -0.36341999     -0.70000056 
16.000000    -0.40235699     -0.77499896 
17.000000    -0.44129501     -0.84999935 
18.000000    -0.46725399     -0.90000017 
19.000000    -0.49321201     -0.94999916 
20.000000    -0.50619202     -0.97500056 
21.000000    -0.53215000     -1.0249995 
22.000000    -0.55810902     -1.0750004 
23.000000    -0.58406700     1.1249993 
24.000000    -0.61002602     1.1750002 
