# kbolo m^3       volume m^3
0.001904777e-6    4936.5706e-6
0.002359474e-6    6388.5028e-6
0.002509411e-6    6336.5413e-6
0.002569351e-6    6048.9284e-6
0.002636727e-6    5794.3031e-6
0.002714522e-6    5668.1597e-6
0.002753063e-6    5505.2170e-6
0.002752090e-6    5312.6378e-6
0.002778148e-6    5183.8321e-6
0.002828392e-6    5165.5044e-6
0.002842570e-6    5118.6550e-6
0.002814360e-6    5016.5122e-6
0.002799649e-6    4909.7840e-6
0.002799391e-6    4845.1250e-6
0.002760369e-6    4728.4661e-6
0.002688607e-6    4585.7454e-6
0.002643762e-6    4495.4419e-6
0.002624250e-6    4486.7206e-6
0.002568533e-6    4434.9860e-6
0.002474741e-6    4324.8822e-6
0.002391591e-6    4209.8149e-6
0.002319616e-6    4111.8440e-6
0.002204292e-6    3923.4955e-6
0.002048514e-6    3644.5259e-6
