#ch          reff(cm)       roh(reff/a) 
1.0000000    0.54513000     1.0500009 
2.0000000    0.48023300     0.92499967 
3.0000000    0.42831600     0.82499986 
4.0000000    0.37639900     0.72500005 
5.0000000    0.32448200     0.62500025 
6.0000000    0.28554399     0.54999989 
7.0000000    0.24660601     0.47499958 
8.0000000    0.20766800     0.39999923 
9.0000000    0.16873100     0.32500082 
10.000000    0.12979300     0.25000047 
11.000000    0.09085490     0.17499996 
12.000000    0.05191710     0.10000000 
13.000000    0.02595850     0.049999904 
14.000000    0.01297930     0.025000048 
15.000000    -0.02595850    -0.04999990 
16.000000    -0.06489640    -0.12500005 
17.000000    -0.09085490    -0.17499996 
18.000000    -0.12979300    -0.25000047 
19.000000    -0.16873100    -0.32500082 
20.000000    -0.20766800    -0.39999923 
21.000000    -0.24660601    -0.47499958 
22.000000    -0.27256500    -0.52500044 
23.000000    -0.31150299    -0.60000075 
24.000000    -0.35043999    -0.67499916 
